Thương hiệu,Giá tiền (VNĐ),Chất liệu dây,Chất liệu vỏ,Xuất xứ,Giới tính,Chất liệu mặt kính,Độ chịu nước (ATM),Bảo hành,Kiểu máy,Kích cỡ (mm)
Tissot,17150000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,,Kính sapphire,10,2,Quartz,39
Tissot,26775000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nữ,Kính sapphire,3,2,Automatic,32
Orient,8491500,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính sapphire,5,1,Automatic,41
Orient,5880000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính cứng,5,1,Automatic,41.6
Tissot,34650000,Dây da,Thép không gỉ,Thụy Sĩ,Nữ,Kính sapphire,5,2,Quartz,31.6
Olym Pianus,4518000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,3,2,Automatic,40
Titoni,27228050,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nữ,Kính sapphire,10,2,Automatic,33.5
Stefano Ricci,2000000,Dây da,Thép không gỉ,Nhật Bản,Nam,Kính sapphire,5,1,Quartz,40
Freelook,2080000,Thép không gỉ,Thép không gỉ,Pháp,Nữ,Kính cứng,3,2,Quartz,30
Citizen,4275000,Dây da,Thép không gỉ,Trung Quốc,Nam,Kính cứng,5,1,Automatic,41
Fossil,3750000,Thép không gỉ,Thép không gỉ,Mỹ,Nam,Kính cứng,10,2,Quartz,42
Michael Kors,6600000,Dây cao su,Thép không gỉ,Mỹ,Nữ,Kính cứng,5,2,Quartz,37
Citizen,5950000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính sapphire,5,1,Eco-Drive,40
Q&Q Citizen,1347300,Hợp kim Titanium,Hợp kim Titanium,Trung Quốc,Nữ,Kính cứng,3,1,Quartz,38
Casio,2709000,,,Trung Quốc,Nam,Kính cứng,5,1,Quartz,46.8
Bruno Sohnle,13230000,Dây da,Thép không gỉ,Đức,Nam,Kính sapphire,5,2,Quartz,42
Lobinni,4950000,Dây da,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,5,2,Automatic,41
Citizen,4335000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính cứng,5,1,Eco-Drive,40
Citizen,6270000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính sapphire,3,1,Eco-Drive,37
Citizen,3730000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính cứng,5,1,Quartz,39
Stefano Ricci,1800000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính sapphire,3,1,Quartz,39
Philippe Auguste,6287400,Thép không gỉ,Thép không gỉ,Trung Quốc,Nam,Kính sapphire,5,2,Quartz,39
Casio,4663800,,,,Nam,Kính cứng,10,1,Quartz,45.4
Stefano Ricci,4250000,Dây da,Thép không gỉ,Nhật Bản,Nữ,Kính sapphire,5,1,Quartz,28
Olym Pianus,5740000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính sapphire,5,2,Automatic,42
Olym Pianus,4450000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính sapphire,3,2,Quartz,42
Bulova,14400000,Thép không gỉ,Thép không gỉ,Mỹ,Nam,Kính sapphire,3,3,Automatic,35
Seiko,5661000,Dây dù,Thép không gỉ,Nhật Bản,Nam,Kính hardlex,10,1,Kinentic,42
Seiko,4068000,Thép không gỉ,Thép không gỉ,Nhật Bản,Nam,Kính sapphire,10,1,Quartz,40
Lobinni,3680000,Dây da,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,5,2,Automatic,39
Freelook,1494000,Dây da,Thép không gỉ,Pháp,Nữ,Kính cứng,5,2,Quartz,32
Lobinni,4850000,Dây da,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,5,2,Automatic,42
Bruno Sohnle,13230000,Dây da,Thép không gỉ,Đức,Nam,Kính sapphire,5,2,Quartz,42
Longines,30800000,Thép không gỉ,Thép không gỉ,Thụy Sĩ,Nam,Kính sapphire,3,2,Automatic,35
Casio,5971000,Dây da,,Nhật Bản,Nữ,Kính sapphire,3,1,Quartz,28
